"","species","depth_effect","covariate","low","low_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se"
"125","blackgill rockfish",FALSE,"temp",-0.527099055008543,0.0273274986413178,0.999074718871514,0.0288881160622775,1.52617377388006,0.0389150954827287,2.99573227355399,0,-0.717323127942504,0.087578222928935
"126","pink seaperch",FALSE,"temp",0.422422571717856,0.0479897196462847,3.51191595128104,0.123843881104909,3.08949337956318,0.127211635049113,2.99573227355399,0,0.580931079343937,0.0345107990504658
"127","california skate",FALSE,"temp",-0.372903484508763,0.119077691609991,5.08003066900718,0.371606569598167,5.45293415351595,0.414647596622039,2.99573227355399,0,0.865476089172144,0.0204587162590263
"128","curlfin sole",FALSE,"temp",0.233403077490465,0.0918295900690443,5.23950550768869,0.370998992325682,5.00610243019822,0.346350802716017,2.99573227355399,0,0.840389841693083,0.0220854875512574
"129","sand sole",FALSE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,0,1.0352040946564,0.0553411068813541
"130","sharpchin rockfish",FALSE,"temp",-0.112609568308484,0.0327305489509928,1.39958560301525,0.0599160264193683,1.51219517132374,0.0519631236581852,2.99573227355399,0,-0.749219448732738,0.12021584018184
"131","plainfin midshipman",FALSE,"temp",0.441193907141041,0.0382060860490053,3.39264205080767,0.073050984848729,2.95144814366663,0.0775362231611056,2.99573227355399,0,0.540812901971681,0.0241262130129742
"132","brown rockfish",FALSE,"temp",-0.182644188800851,0.296396900578446,2.85498806963194,0.495975439595951,3.03763225843279,0.714872075676174,2.99573227355399,0,0.566499503771319,0.204038786252247
"133","white croaker",FALSE,"temp",0.0308235737658385,0.167802246339607,3.94898864552106,0.350882197412424,3.91816507175522,0.412140380856784,2.99573227355399,0,0.739447926482116,0.054813428656583
"134","copper rockfish",FALSE,"temp",0.718539739005992,0.17574187954279,3.83420356698667,0.519219355108661,3.11566382798068,0.412949334865173,2.99573227355399,0,0.587941566885988,0.109228251361316
"135","halfbanded rockfish",FALSE,"temp",0.915925169746609,0.0403622364823898,3.22089355870099,0.0824420892396102,2.30496838895438,0.0749879997364479,2.99573227355399,0,0.247112574246582,0.0489876758002597
"136","squarespot rockfish",FALSE,"temp",1.13676800415863,0.106198480751341,3.44920853168258,0.253598977619912,2.31244052752396,0.201472340576308,2.99573227355399,0,0.251970290619002,0.130344797693868
"137","vermilion and sunset rockfish",FALSE,"temp",0.789600351967491,0.0948673721182734,3.2656017280351,0.26646045483533,2.47600137606761,0.225620817219569,2.99573227355399,0,0.347533485612967,0.118909488183084
"138","speckled rockfish",FALSE,"temp",0.549624300656633,0.0950412506085802,1.62372673717895,0.165176453718845,1.07410243652232,0.210017504992212,2.99573227355399,0,-2.46711772160987,1.35583979450671
"139","flag rockfish",FALSE,"temp",0.607088806407169,0.150387440954839,3.59383538428941,0.424617005776951,2.98674657788225,0.370298601079738,2.99573227355399,0,0.551602438837507,0.111185187826527
"140","honeycomb rockfish",FALSE,"temp",0.823828419473204,0.0695672590093665,1.74446967245645,0.107914107702228,0.92064125298325,0.135628343750084,2.99573227355399,0,-3.71931676705208,1.39049410326375
"141","rougheye and blackspotted rockfish",FALSE,"temp",-1.1527529158175,0.0505225201801079,0.664145384487029,0.0532279100235685,1.81689830030453,0.0741852424820784,2.99573227355399,0,-0.211710172987558,0.0989499665292403
"142","pacific viperfish",FALSE,"temp",-2.92974368873946,0.111662890703982,-0.175886608233459,0.0359218651342788,2.753857080506,0.113358727401121,2.99573227355399,0,0.47255497987631,0.0434230931434497
"143","quillback rockfish",FALSE,"temp",0.707286028180559,0.191843863063822,2.83598856781444,0.475463084249386,2.12870253963388,0.440689809955896,2.99573227355399,0,0.117265633635139,0.365492155819738
"144","blue rockfish",FALSE,"temp",0.336275160033468,0.286473597253482,2.28703756271396,0.993976328154692,1.9507624026805,1.04498220121835,2.99573227355399,0,-0.0511174299854855,1.12612279610876
"145","shortraker rockfish",FALSE,"temp",-0.995264292160582,0.135865342813358,0.124315002544209,0.112618326105054,1.11957929470479,0.191316878964792,2.99573227355399,0,-2.19117245842127,1.09063316528115
"146","black rockfish",FALSE,"temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","cabezon",FALSE,"temp",0.200963790357235,NA,1.04865290521843,NA,0.8476891148612,NA,2.99573227355399,NA,-4.5665585121066,NA
"148","kelp rockfish",FALSE,"temp",-2.01231903615173,0.344377140983509,3.42012403833218,0.285888950428211,5.4324430744839,0.541177510438456,2.99573227355399,0,0.864459331569423,0.0270049995917876
"149","butterfish unident.",FALSE,"temp",0.845974857854613,0.0719490425639055,1.52623906339268,0.133965929555792,0.680264205538066,0.160046370208254,2.995732273554,0,-7.64380084375293,4.06726956551085
"150","rock sole unident.",FALSE,"temp",3.64436740926728,17.4162438151662,11.092319149318,31.0619290942391,7.44795174005072,13.6758133198387,2.99573227355399,0,0.927891529549668,0.264808907220745
"151","olive rockfish",FALSE,"temp",-1.00553994518562,1232.76467547212,1.42583081497719,1274.28456808276,2.43137076016281,2167.06077855033,2.99573227355399,0,0.323360086544993,1206.16718904018
"152","tree rockfish",FALSE,"temp",-2.01231903615173,0.344377140983509,3.42012403833218,0.285888950428211,5.4324430744839,0.541177510438456,2.99573227355399,0,0.864459331569423,0.0270049995917876
