"","species","covariate","depth_effect","low","low_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se"
"61","chinook salmon","temp",TRUE,-0.988079676400993,0.331748224307214,7.1196446916311,0.896045876802489,8.10772436803209,0.932785885885316,2.99573227355399,0,0.939149795861905,0.0140015148509622
"62","prowfish","temp",TRUE,NA,NA,NA,NA,NA,NA,2.99573227355399,0,1.03947728058163,0.0268408861335376
"63","chum salmon","temp",TRUE,-8.19091847666441,5.22560644418016,7.64420991096342,2.92390264237583,15.8351283876278,7.68890415224809,2.99573227355399,0,0.984047938564113,0.0154913643146891
"64","rock sole unid.","temp",TRUE,-1.76916308871215,0.590444044863491,7.58945784919616,1.56953762555997,9.35862093790831,1.81434581535123,2.99573227355399,0,0.954329446246835,0.0177082026586172
"65","dusky and dark rockfishes unid.","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","rougheye rockfish","temp",TRUE,-17.4619013397327,46.8297895922992,5.09191567391324,3.40789297494245,22.553817013646,45.5715938798087,2.99573227355399,0,0.992136427662473,0.0317778161269516
"67","Pacific ocean perch","temp",TRUE,-3.49786066577512,0.427999896549947,2.91469772440206,0.308177005770234,6.41255839017718,0.650229539343565,2.99573227355399,0,0.90272587654504,0.019727074479682
"68","rosethorn rockfish","temp",TRUE,-2.07672984953815,0.807806179457336,3.25127011635329,1.91123439345855,5.32799996589144,2.53344172551121,2.99573227355399,0,0.859093325757695,0.134001069900061
"69","silvergray rockfish","temp",TRUE,-1.78485604674451,0.438940949908349,3.49959413846049,0.768874767225416,5.284450185205,1.0468327275356,2.99573227355399,0,0.856761298708419,0.0567502597645947
"70","yelloweye rockfish","temp",TRUE,-2.79421230812071,0.574207126174703,2.28060987772606,0.459727229689294,5.07482218584677,0.875963325178627,2.99573227355399,0,0.844683236655892,0.0536183470050727
"71","redbanded rockfish","temp",TRUE,-5.88980987907329,3.60618332871179,6.21138284388777,3.79458537395796,12.1011927229611,7.14265287859004,2.99573227355399,0,0.972684847077263,0.0322451943571685
"72","harlequin rockfish","temp",TRUE,-2.71669527197462,0.670033874336956,2.52995862515877,0.530003828056833,5.24665389713339,1.02941367281173,2.99573227355399,0,0.854690115113411,0.0570207165289407
"73","shortraker rockfish","temp",TRUE,-2.09090239296098,0.175269083899238,0.483418583521127,0.0760861346871193,2.57432097648211,0.201006559721483,2.99573227355399,0,0.396420334076443,0.0942566783812084
"74","sand sole","temp",TRUE,-1.16525805186028,5.80782204599057,19.7261870315109,26.0378402172561,20.8914450833712,21.0915870450067,2.99573227355399,0,0.990835199237864,0.0185052007894456
"75","slender sole","temp",TRUE,-3.29286344323666,1.26318279987057,6.58288571191831,2.80146842585444,9.87574915515497,3.83148181827734,2.99573227355399,0,0.958987155560439,0.0318234020158338
"76","sharpchin rockfish","temp",TRUE,-1.53692745405262,0.253069738929855,2.16967652631659,0.412804047558937,3.70660398036921,0.556886990983011,2.99573227355399,0,0.708856153291803,0.0874839727120765
"77","rougheye and blackspotted rockfish unid.","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","giant octopus","temp",TRUE,-4.50160478080827,1.69988674219362,7.20261924084531,2.81700192210905,11.7042240216536,4.09778863158103,2.99573227355399,0,0.970800545376554,0.0204461556755848
"79","blackspotted rockfish","temp",TRUE,-12.5185694256412,20.5675439337603,3.21354913457508,2.08071382278797,15.7321185602162,19.5297452768243,2.99573227355399,0,0.983838354740416,0.04012591361627
"80","dusky rockfish","temp",TRUE,-3.75918613865221,0.688903929506393,3.06151169845537,0.469262396596833,6.82069783710758,0.998171320671763,2.99573227355399,0,0.91401902399428,0.0251656784751138
"81","greenstriped rockfish","temp",FALSE,-0.446042755781244,0.0811700774046052,1.57592304618994,0.185919330017703,2.02196580197119,0.196888210990506,2.99573227355399,0,0.0216091570356128,0.190540930546853
